slug,title,url,kind,author,published,modified,topics,tags,reading_time,featured_image,description,word_count
speaking-at-data-innovation-summit-and-big-data-warsaw,Speaking at Data Innovation Summit and Big Data Warsaw,https://arnon.dk/speaking-at-data-innovation-summit-and-big-data-warsaw/,post,Arnon Shimoni,2020-01-28T22:57:57+00:00,2020-09-03T15:24:46+00:00,Uncategorized,,,https://arnon.dk/wp-content/uploads/2020/01/big-data-warsaw1.jpg,"I’m kicking off 2020 by attending and speaking at both Data Innovation Summit and Big Data Warsaw. My talk titles are roughly around the idea of “It’s 2020 – why are we still using 1980’s tech?“ Big Data Warsaw is a tightly packed, quick-pace one-day event on February 27th in Warsaw, Poland Data Innovation Summit […]",93
my-top-5-product-books,My top 5 “product” books,https://arnon.dk/my-top-5-product-books/,post,Arnon Shimoni,2020-02-13T10:44:37+00:00,2020-09-03T15:24:46+00:00,product management,product management,2 minutes,https://images-na.ssl-images-amazon.com/images/I/81nAGZ%2BCMjL.jpg,"I will admit I don’t read enough. I find it hard to focus on stories after spending my work-day reading things rapid-fire. Most of my day is spent reading industry reports, e-mails, Slack messages, product requirements, tweets, etc. However, ny recent shift towards being a better product manager has lead me to really dig my […]",339
x-crashes-after-installing-nvidia-driver-on-centos-or-rhel,X crashes after installing Nvidia driver on CentOS or RHEL,https://arnon.dk/x-crashes-after-installing-nvidia-driver-on-centos-or-rhel/,post,Arnon Shimoni,2016-02-11T10:05:51+00:00,2020-09-03T15:24:47+00:00,IT,centos;crashes;cuda;driver;linux;nvidia;x,1 minute,,"Recently I’ve been having trouble with the Nvidia driver on CentOS 6. Opening any kind of app that uses the GPU like Google Chrome, Firefox or even Nvidia’s own nvidia-settings causes X to crash and restart. Luckily, I’ve found the solution, and it has to do with libglx.so. Navigate to < pre>/usr/lib64/xorg/modules/extensions/ < pre> and […]",178
how-does-the-nvidia-gtx-1080-stack-up-against-the-nvidia-tesla-k40,Nvidia GTX 1080 vs Nvidia Tesla K40 – Installing a GTX1080 in a Dell R720,https://arnon.dk/how-does-the-nvidia-gtx-1080-stack-up-against-the-nvidia-tesla-k40/,post,Arnon Shimoni,2016-06-05T14:58:57+00:00,2020-09-03T15:24:47+00:00,GPUs;IT,gpu;gtx 1080;gtx 1080 vs tesla k40;k40;k80 vs 1080;nvidia;nvidia gtx 1080;nvidia tesla k80 vs gtx 1080;tesla k40;tesla k40 vs gtx 1080,2 minutes,https://arnon.dk/wp-content/uploads/2016/06/vs-1024x310.png,"At SQream Technologies, we use Nvidia graphics cards in order to perform a lot of the heavy database operations. With SQream DB, we usually recommend using a Tesla K40 or K80 card. While a Tesla K40 is designed to operate inside a server enclosure (it has no onboard fan), standard Nvidia cards like the GTX […]",379
sqream-db-string-cheat-sheet,SQream DB string cheat-sheet,https://arnon.dk/sqream-db-string-cheat-sheet/,post,Arnon Shimoni,2016-06-19T13:10:24+00:00,2020-09-03T15:24:47+00:00,Databases;SQream DB,cheat sheet;gpu;pdf;sql;sqream;sqreamdb,,https://arnon.dk/wp-content/uploads/2016/06/SQream-DB-Cheat-sheet-Strings-1-1024x811.png,"There is some lack of handy documentation for SQream DB – a fast, GPU based analytics SQL database. I decided to make a few cheat sheets to help out my fellow SQream DB DBAs. Strings Download as PDF – SQream DB Cheat sheet – Strings (164KB)",46
is-sqream-db-right-for-me,When would SQream DB be right for me?,https://arnon.dk/is-sqream-db-right-for-me/,post,Arnon Shimoni,2017-05-05T12:17:50+00:00,2020-09-03T15:24:47+00:00,Databases;GPUs;SQream DB,databases;sqream;sqream-db;sqreamdb,3 minutes,https://arnon.dk/wp-content/uploads/2017/05/cocolink-klimax-210-791x473.png,"I’ve been a part of SQream DB for over three years, now entering the fourth year.I started out in the core of the product – the SQL parser and compiler written in Haskell. My experience with the product started out in pure amazement at what it can do (I came from mySQL), and has evolved […]",576
geojson-to-csv-parser,I built a GeoJSON to CSV parser in Python,https://arnon.dk/geojson-to-csv-parser/,post,Arnon Shimoni,2018-04-09T08:12:08+00:00,2020-09-03T15:24:47+00:00,Uncategorized,,,,"The GeoJSON to CSV parser is intended to help classic relational databases handle GeoJSON datatypes. It’s very simple, and converts each Feature from the FeatureCollection into it’s properties and a longitude, latitude coordinates. Check it out on my GitHub",39
sqream-db-at-cmu-how-we-approached-building-a-gpu-database,SQream DB at CMU – How we approached building a GPU database,https://arnon.dk/sqream-db-at-cmu-how-we-approached-building-a-gpu-database/,post,Arnon Shimoni,2018-10-25T07:47:26+00:00,2020-09-03T15:24:47+00:00,Talks,,,,"Earlier in October, Jake (SQream’s architect) and myself flew to Carnegie Mellon University in Pittsburgh to give a talk as part of their Hardware Accelerated Database lecture seminar. It was great fun, and we even got to speak to a bunch of research students on their research topics. They had great ideas, which I’m sure […]",82
airlines-use-personal-data-to-reduce-delays,How airlines use your personal data to reduce delays – and why you should let them have it,https://arnon.dk/airlines-use-personal-data-to-reduce-delays/,post,Arnon Shimoni,2019-07-28T20:36:41+00:00,2020-11-19T10:02:28+00:00,Analytics,airlines;analytics;big data analytics;BTS;delays;flights;sqream-db,9 minutes,https://arnon.dk/wp-content/uploads/2019/07/Carrier-delays.jpg,"Hundreds of articles have been written about how airlines track customers to upsell them, offer upgrades, personalize offers, increase loyalty, and even improve baggage tracking. However, one of the most interesting fields of airline operations is adapting to irregular operations – meaning using a combination of customer profiles, weather, route information, airport performance and more to plan, predict, and optimize operations. Can big data help reduce delays?",1772
check-cuda-installed,How to check which CUDA version is installed on Linux,https://arnon.dk/check-cuda-installed/,post,Arnon Shimoni,2017-08-16T07:44:53+00:00,2020-11-24T12:44:02+00:00,GPUs;IT,cuda;nvcc;nvidia;version,3 minutes,https://arnon.dk/wp-content/uploads/2017/08/nvidia-cuda21.png,"Get the CUDA version and which Nvidia GPU is installed in your machine in several ways, including API calls and shell commands",562
