rule_id,parent_ziffer,child_ziffer,legal_basis,quote,verified,verified_at,source
ziel_man_2000_200,2000,200,§ 4 Abs. 2a GOÄ i.V.m. Allgemeine Bestimmung zu Abschnitt C VIII,"Die Leistungen nach Nummer 200, die im Zusammenhang mit einer operativen Leistung (auch Ätzung, Fremdkörperentfernung), Punktion, Infusion, Transfusion oder Injektion durchgeführt werden, sind Bestandteil dieser Leistung.",true,2026-07-25,manual_verification
ziel_man_301_200,301,200,§ 4 Abs. 2a GOÄ i.V.m. Allgemeine Bestimmung zu Abschnitt C VIII,"Die Leistungen nach Nummer 200, die im Zusammenhang mit einer operativen Leistung (auch Ätzung, Fremdkörperentfernung), Punktion, Infusion, Transfusion oder Injektion durchgeführt werden, sind Bestandteil dieser Leistung.",true,2026-07-25,manual_verification
ziel_man_300_200,300,200,§ 4 Abs. 2a GOÄ i.V.m. Allgemeine Bestimmung zu Abschnitt C VIII,"Die Leistungen nach Nummer 200, die im Zusammenhang mit einer operativen Leistung (auch Ätzung, Fremdkörperentfernung), Punktion, Infusion, Transfusion oder Injektion durchgeführt werden, sind Bestandteil dieser Leistung.",true,2026-07-25,manual_verification
