rule_id,from_ziffer,to_ziffer,direction,legal_basis,quote,verified,verified_at,source,parser_verdict,parser_reason,parser_provision
excl_auto_2000_2033,2000,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
excl_auto_2001_2033,2001,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
excl_auto_2002_2033,2002,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
excl_auto_2003_2033,2003,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
excl_auto_2004_2033,2004,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
excl_auto_2005_2033,2005,2033,one_way,GOÄ Anmerkung zu Nummer 2005,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist.",false,,auto_extracted:neben_sind:range[2000-2005(6)],QUARANTINE,conditional:wenn,"Neben den Leistungen nach den Nummern 2000 bis 2005 ist die Leistung nach Nummer 2033 nicht berechnungsfähig, wenn die Extraktion des Nagels Bestandteil der Wundversorgung ist."
