rule_id,ziffer,min_age,max_age,legal_basis,quote,verified,verified_at,source
age_man_26,26,2,13,GOÄ Leistungslegende Nr. 26 + Anmerkung,"Untersuchung zur Früherkennung von Krankheiten bei einem Kind bis zum vollendeten 14. Lebensjahr (Erhebung der Anamnese, Feststellung der Körpermaße, Untersuchung von Nervensystem, Sinnesorganen, Skelettsystem, Haut, Brust-, Bauch- und Geschlechtsorganen) - gegebenenfalls einschließlich Beratung der Bezugsperson(en) - | Die Leistung nach Nummer 26 ist ab dem vollendeten 2. Lebensjahr je Kalenderjahr höchstens einmal berechnungsfähig.",true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_250a,250a,,7,GOÄ Leistungslegende Nr. 250a,Kapillarblutentnahme bei Kindern bis zum vollendeten 8. Lebensjahr,true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_273,273,,3,GOÄ Leistungslegende Nr. 273,"Infusion, intravenös - gegebenenfalls mittels Nabelvenenkatheter oder in die Kopfvene -, bei einem Kind bis zum vollendeten 4. Lebensjahr",true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_412,412,,1,GOÄ Leistungslegende Nr. 412,Ultraschalluntersuchung des Schädels bei einem Säugling oder Kleinkind bis zum vollendeten 2. Lebensjahr,true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_413,413,,1,GOÄ Leistungslegende Nr. 413,Ultraschalluntersuchung der Hüftgelenke bei einem Säugling oder Kleinkind bis zum vollendeten 2. Lebensjahr,true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_1063,1063,,9,GOÄ Leistungslegende Nr. 1063,Vaginoskopie bei einem Kind bis zum vollendeten 10. Lebensjahr,true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_5041,5041,,13,GOÄ Leistungslegende Nr. 5041,Beckenübersicht bei einem Kind bis zum vollendeten 14. Lebensjahr,true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_K1,K1,,3,GOÄ Leistungslegende Nr. K1,"Zuschlag zu Untersuchungen nach Nummer 5, 6, 7 oder 8 bei Kindern bis zum vollendeten 4. Lebensjahr",true,2026-09-12,manual_verification:coverage_sprint_batch2
age_man_K2,K2,,3,GOÄ Leistungslegende Nr. K2,"Zuschlag zu den Leistungen nach Nummer 45, 46, 48, 50, 51, 55 oder 56 bei Kindern bis zum vollendeten 4. Lebensjahr",true,2026-09-12,manual_verification:coverage_sprint_batch2
